Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Landvik;SN38140;09.06.2007;0
Landvik;SN38140;10.06.2007;0
Landvik;SN38140;11.06.2007;0
Landvik;SN38140;12.06.2007;0
Landvik;SN38140;13.06.2007;0
Landvik;SN38140;14.06.2007;0
Landvik;SN38140;15.06.2007;0
Landvik;SN38140;16.06.2007;0
Landvik;SN38140;17.06.2007;17,7
Landvik;SN38140;18.06.2007;0,3
Landvik;SN38140;19.06.2007;0
Landvik;SN38140;20.06.2007;0
Landvik;SN38140;21.06.2007;1,8
Landvik;SN38140;22.06.2007;0
Landvik;SN38140;23.06.2007;10,1
Landvik;SN38140;24.06.2007;15,7
Landvik;SN38140;25.06.2007;0
Landvik;SN38140;26.06.2007;2,4
Landvik;SN38140;27.06.2007;46,8
Landvik;SN38140;28.06.2007;3,5
Landvik;SN38140;29.06.2007;0
Landvik;SN38140;30.06.2007;9,3
Landvik;SN38140;01.07.2007;0
Landvik;SN38140;02.07.2007;33,3
Landvik;SN38140;03.07.2007;26,2
Landvik;SN38140;04.07.2007;1
Landvik;SN38140;05.07.2007;2,7
Landvik;SN38140;06.07.2007;23,3
Landvik;SN38140;07.07.2007;27,5
Landvik;SN38140;08.07.2007;0,2
Landvik;SN38140;09.07.2007;0
Landvik;SN38140;10.07.2007;0
Landvik;SN38140;11.07.2007;9,4
Landvik;SN38140;12.07.2007;1,9
Landvik;SN38140;13.07.2007;0
Landvik;SN38140;14.07.2007;0
Landvik;SN38140;15.07.2007;31,5
Landvik;SN38140;16.07.2007;0
Landvik;SN38140;17.07.2007;10,7
Landvik;SN38140;18.07.2007;2,2
Landvik;SN38140;19.07.2007;0
Landvik;SN38140;20.07.2007;0
Landvik;SN38140;21.07.2007;0
Landvik;SN38140;22.07.2007;2,4
Landvik;SN38140;23.07.2007;2,7
Landvik;SN38140;24.07.2007;0
Landvik;SN38140;25.07.2007;0,4
Landvik;SN38140;26.07.2007;0,6
Landvik;SN38140;27.07.2007;16,4
Landvik;SN38140;28.07.2007;0,4
Landvik;SN38140;29.07.2007;0
Landvik;SN38140;30.07.2007;0
Landvik;SN38140;31.07.2007;0
Landvik;SN38140;01.08.2007;0
Landvik;SN38140;02.08.2007;0
Landvik;SN38140;03.08.2007;0,1
Landvik;SN38140;04.08.2007;0
Landvik;SN38140;05.08.2007;0
Landvik;SN38140;06.08.2007;0,1
Landvik;SN38140;07.08.2007;0
Landvik;SN38140;08.08.2007;0
Landvik;SN38140;09.08.2007;0
Landvik;SN38140;10.08.2007;0,1
Landvik;SN38140;11.08.2007;1,1
Landvik;SN38140;12.08.2007;35,8
Landvik;SN38140;13.08.2007;0
Landvik;SN38140;14.08.2007;3,8
Landvik;SN38140;15.08.2007;21
Landvik;SN38140;16.08.2007;17,3
Landvik;SN38140;17.08.2007;0
Landvik;SN38140;18.08.2007;0,1
Landvik;SN38140;19.08.2007;0,8
Landvik;SN38140;20.08.2007;6,6
Landvik;SN38140;21.08.2007;38,1
Landvik;SN38140;22.08.2007;0
Landvik;SN38140;23.08.2007;0
Landvik;SN38140;24.08.2007;0
Landvik;SN38140;25.08.2007;0
Landvik;SN38140;26.08.2007;0
Landvik;SN38140;27.08.2007;0
Landvik;SN38140;28.08.2007;0
Landvik;SN38140;29.08.2007;0
Landvik;SN38140;30.08.2007;0
Landvik;SN38140;31.08.2007;3,7
Landvik;SN38140;01.09.2007;3,3
Landvik;SN38140;02.09.2007;0
Landvik;SN38140;03.09.2007;0
Landvik;SN38140;04.09.2007;0
Landvik;SN38140;05.09.2007;0,1
Landvik;SN38140;06.09.2007;0
Landvik;SN38140;07.09.2007;0
Landvik;SN38140;08.09.2007;0
Landvik;SN38140;09.09.2007;0
Landvik;SN38140;10.09.2007;0,3
Landvik;SN38140;11.09.2007;0
Landvik;SN38140;12.09.2007;0
Landvik;SN38140;13.09.2007;0
Landvik;SN38140;14.09.2007;1,9
Landvik;SN38140;15.09.2007;5
Landvik;SN38140;16.09.2007;1,5
Landvik;SN38140;17.09.2007;4,2
Landvik;SN38140;18.09.2007;0
Landvik;SN38140;19.09.2007;0,2
Landvik;SN38140;20.09.2007;3,5
