Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn);Svakeste middelvind fra hovedobs. (døgn);Kraftigste middelvind fra hovedobs. (døgn)
Torungen Fyr;SN36200;01.06.1961;1004,5;1005;1003,9;4,1;5,7
Torungen Fyr;SN36200;02.06.1961;1008,8;1010,1;1006,9;0;3,6
Torungen Fyr;SN36200;03.06.1961;1014,2;1015,4;1012,7;3,1;6,7
Torungen Fyr;SN36200;04.06.1961;1017,4;1018,1;1016,8;2,6;7,2
Torungen Fyr;SN36200;05.06.1961;1017,8;1018,4;1016,9;1,5;8,7
Torungen Fyr;SN36200;06.06.1961;1015,7;1017;1013,7;0;4,6
Torungen Fyr;SN36200;07.06.1961;1009,2;1010,3;1008,1;2,1;7,2
Torungen Fyr;SN36200;08.06.1961;1007;1007,1;1006,8;4,6;13,4
Torungen Fyr;SN36200;09.06.1961;1009,7;1010,5;1008,5;3,1;10,3
Torungen Fyr;SN36200;10.06.1961;1013,7;1014,2;1013,2;6,2;10,3
Torungen Fyr;SN36200;11.06.1961;1014,1;1014,7;1013,2;5,1;10,3
Torungen Fyr;SN36200;12.06.1961;1010,2;1011,5;1008,2;3,6;4,1
Torungen Fyr;SN36200;13.06.1961;1004,3;1004,9;1003,9;3,6;7,2
Torungen Fyr;SN36200;14.06.1961;1009,2;1011,1;1007,3;5,1;7,7
Torungen Fyr;SN36200;15.06.1961;1013,8;1014,9;1013,2;5,1;8,2
Torungen Fyr;SN36200;16.06.1961;1012,1;1012,7;1011,4;3,1;12,9
Torungen Fyr;SN36200;17.06.1961;1008;1010;1006,2;10,3;11,8
Torungen Fyr;SN36200;18.06.1961;1002;1004,2;999,9;9,3;13,9
Torungen Fyr;SN36200;19.06.1961;1009,9;1013,6;1006,8;9,8;12,3
Torungen Fyr;SN36200;20.06.1961;1017,9;1018,4;1017;8,2;9,3
Torungen Fyr;SN36200;21.06.1961;1016,9;1017,5;1016,1;6,2;9,8
Torungen Fyr;SN36200;22.06.1961;1012,2;1015,8;1008,7;6,2;14,4
Torungen Fyr;SN36200;23.06.1961;1006,3;1008,1;1004,8;8,2;12,3
Torungen Fyr;SN36200;24.06.1961;1005,6;1006,3;1005,1;7,7;15,4
Torungen Fyr;SN36200;25.06.1961;1002;1002,3;1001,5;9,8;11,8
Torungen Fyr;SN36200;26.06.1961;1005,7;1006,1;1005;3,6;5,1
Torungen Fyr;SN36200;27.06.1961;1003;1004,2;1001,2;3,1;8,2
Torungen Fyr;SN36200;28.06.1961;1014;1016,9;1010,9;10,8;11,3
Torungen Fyr;SN36200;29.06.1961;1020;1020,4;1019,6;8,2;10,3
Torungen Fyr;SN36200;30.06.1961;1022,9;1023,5;1022,3;6,2;12,3
Torungen Fyr;SN36200;01.07.1961;1021,9;1023,2;1019,7;3,1;7,7
Torungen Fyr;SN36200;02.07.1961;1017,5;1019,1;1015,8;4,1;11,3
Torungen Fyr;SN36200;03.07.1961;1014;1016,3;1011,5;5,1;8,7
Torungen Fyr;SN36200;04.07.1961;1001,3;1003,5;999,9;3,1;7,2
Torungen Fyr;SN36200;05.07.1961;1003,1;1005,7;1000,5;4,6;6,7
Torungen Fyr;SN36200;06.07.1961;1011,2;1012,3;1009,7;6,2;6,7
Torungen Fyr;SN36200;07.07.1961;1012,9;1013,7;1011,6;3,6;10,8
Torungen Fyr;SN36200;08.07.1961;1008,4;1009,7;1006,2;4,1;9,8
Torungen Fyr;SN36200;09.07.1961;1001,9;1002;1001,7;5,1;8,2
Torungen Fyr;SN36200;10.07.1961;1002,3;1003,1;1001,3;3,1;6,7
Torungen Fyr;SN36200;11.07.1961;1004,2;1004,6;1003,7;3,6;10,3
Torungen Fyr;SN36200;12.07.1961;1006,9;1007,3;1006,6;3,1;3,1
Torungen Fyr;SN36200;13.07.1961;1000,5;1002,7;998,9;12,9;14,4
Torungen Fyr;SN36200;14.07.1961;994,1;996,1;991,6;10,3;15,9
Torungen Fyr;SN36200;15.07.1961;1005,6;1007,9;1002,6;6,2;8,7
Torungen Fyr;SN36200;16.07.1961;1009,6;1009,9;1009,2;2,1;8,7
Torungen Fyr;SN36200;17.07.1961;1007,5;1008,7;1005,9;4,6;6,2
Torungen Fyr;SN36200;18.07.1961;1004,1;1005,2;1002,3;3,1;4,6
Torungen Fyr;SN36200;19.07.1961;1002,1;1003,7;1000,1;5,7;11,3
Torungen Fyr;SN36200;20.07.1961;1007,1;1008,1;1005,8;3,1;6,2
Torungen Fyr;SN36200;21.07.1961;1009,5;1010,4;1008,3;2,1;8,2
Torungen Fyr;SN36200;22.07.1961;1007,1;1008,2;1005,1;0;8,2
